slno,Flow_ID, Source_IP, Source_Port, Destination_IP,Destination_Port, Protocol, Timestamp, Flow_Duration, Total_Fwd_Packets,Total_Length_of_Fwd_Packets, Fwd_Packet_Length_Max, Fwd_Packet_Length_Min,Flow_Bytes_per_second, Flow_Packets_per_second,Fwd_Packets_per_second, Min_Packet_Length, Max_Packet_Length, Packet_Length_ean, ACK_Flag_Count,Label
A26Y64M23OISTO,172.16.0.5-192.168.50.1-48074-48074-6,172.16.0.5,48074,192.168.50.1,48074,6,34:30.8,1,2,0,0,0,0,2000000,2000000,0,0,0,1,Evasion or Adversarial Attack
A3UZ3WQO1TQ99W,172.16.0.5-192.168.50.1-62465-8087-17,172.16.0.5,62465,192.168.50.1,8087,17,41:12.0,2998676,4,2064,516,516,688.3037714,1.333922038,1.333922038,516,516,516,0,Poisoning or Causative Attack
A16YA8CBBX9CTN,172.16.0.5-192.168.50.1-580-48997-17,172.16.0.5,580,192.168.50.1,48997,17,40:07.5,6933558,20,10320,516,516,1488.413308,2.884521915,2.884521915,516,516,516,0,Trojan Attack
ATIMPESKY25N5,172.16.0.5-192.168.50.1-63853-5968-17,172.16.0.5,63853,192.168.50.1,5968,17,40:57.3,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,No Attack
A1OC93L36EHWWJ,172.16.0.5-192.168.50.1-62567-22915-17,172.16.0.5,62567,192.168.50.1,22915,17,40:34.6,5999956,6,3096,516,516,516.003784,1.000007333,1.000007333,516,516,516,0,Evasion or Adversarial Attack
A1CLBQQ7A77FSI,172.16.0.5-192.168.50.1-62829-17499-17,172.16.0.5,62829,192.168.50.1,17499,17,40:42.8,6000965,6,3096,516,516,515.9170233,0.999839193,0.999839193,516,516,516,0,Poisoning or Causative Attack
A1J2FKMZPW32HV,172.16.0.5-192.168.50.1-40670-3539-17,172.16.0.5,40670,192.168.50.1,3539,17,39:38.7,3003848,4,2064,516,516,687.1186558,1.331625302,1.331625302,516,516,516,0,Trojan Attack
A1W5FYWEWDH25R,172.16.0.5-192.168.50.1-62528-65076-17,172.16.0.5,62528,192.168.50.1,65076,17,41:11.4,2999981,4,2064,516,516,688.0043574,1.333341778,1.333341778,516,516,516,0,No Attack
A1JNAVLBMYJHAZ,172.16.0.5-192.168.50.1-63077-28386-17,172.16.0.5,63077,192.168.50.1,28386,17,40:40.7,2,2,1032,516,516,516000000,1000000,1000000,516,516,516,0,Evasion or Adversarial Attack
A1H0W7S2H5HC04,172.16.0.5-192.168.50.1-62673-3525-17,172.16.0.5,62673,192.168.50.1,3525,17,39:37.7,3000427,4,2064,516,516,687.9020886,1.333143583,1.333143583,516,516,516,0,No Attack
A1V1EP514B5H7Y,172.16.0.5-192.168.50.1-8977-7450-17,172.16.0.5,8977,192.168.50.1,7450,17,40:17.2,5999841,6,3096,516,516,516.0136744,1.000026501,1.000026501,516,516,516,0,Evasion or Adversarial Attack
A309Z6S89J718F,172.16.0.5-192.168.50.1-62467-16359-17,172.16.0.5,62467,192.168.50.1,16359,17,41:11.4,2999850,4,2064,516,516,688.0344017,1.333400003,1.333400003,516,516,516,0,Poisoning or Causative Attack
A3R8V9EGMG9PXK,172.16.0.5-192.168.50.1-62467-63178-17,172.16.0.5,62467,192.168.50.1,63178,17,40:01.9,2999606,4,2064,516,516,688.0903692,1.333508467,1.333508467,516,516,516,0,Trojan Attack
A15KWUBMC2Y0MF,172.16.0.5-192.168.50.1-62568-27910-17,172.16.0.5,62568,192.168.50.1,27910,17,40:26.8,6000041,6,3096,516,516,515.996474,0.999993167,0.999993167,516,516,516,0,No Attack
A29N1H1N0DSOBU,172.16.0.5-192.168.50.1-22209-39240-17,172.16.0.5,22209,192.168.50.1,39240,17,41:07.7,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Evasion or Adversarial Attack
A23YE95SVEUYZL,172.16.0.5-192.168.50.1-44620-40074-6,172.16.0.5,44620,192.168.50.1,40074,6,34:27.6,1,2,0,0,0,0,2000000,2000000,0,0,0,1,No Attack
AYWAGB8DM3DS8,172.16.0.5-192.168.50.1-62799-12437-17,172.16.0.5,62799,192.168.50.1,12437,17,40:43.0,3000053,4,2064,516,516,687.9878455,1.333309778,1.333309778,516,516,516,0,Evasion or Adversarial Attack
A2RURLGD61WYSS,172.16.0.5-192.168.50.1-63098-39266-17,172.16.0.5,63098,192.168.50.1,39266,17,40:43.6,3000857,4,2064,516,516,687.8035175,1.332952553,1.332952553,516,516,516,0,Poisoning or Causative Attack
A183KZ8DOY7EJ3,172.16.0.5-192.168.50.1-62498-28514-17,172.16.0.5,62498,192.168.50.1,28514,17,41:10.4,5999696,6,3096,516,516,516.0261453,1.000050669,1.000050669,516,516,516,0,Trojan Attack
AAN998J28WIWP,172.16.0.5-192.168.50.1-54373-33203-17,172.16.0.5,54373,192.168.50.1,33203,17,40:29.8,3005167,4,2064,516,516,686.8170721,1.331040837,1.331040837,516,516,516,0,No Attack
A2CH71BG8TO5NN,172.16.0.5-192.168.50.1-62469-32206-17,172.16.0.5,62469,192.168.50.1,32206,17,40:27.4,3143779,4,2064,516,516,656.5346992,1.272354068,1.272354068,516,516,516,0,Evasion or Adversarial Attack
AUCMFAJOBT5CK,172.16.0.5-192.168.50.1-18174-52889-6,172.16.0.5,18174,192.168.50.1,52889,6,34:33.9,1,2,0,0,0,0,2000000,2000000,0,0,0,1,No Attack
A3IANUVB302MPN,172.16.0.5-192.168.50.1-62467-25067-17,172.16.0.5,62467,192.168.50.1,25067,17,39:49.9,2999510,4,2064,516,516,688.1123917,1.333551147,1.333551147,516,516,516,0,Evasion or Adversarial Attack
A2J1EGNKT7I82I,172.16.0.5-192.168.50.1-63316-36509-17,172.16.0.5,63316,192.168.50.1,36509,17,41:03.5,5995446,6,3096,516,516,516.3919415,1.000759577,1.000759577,516,516,516,0,Poisoning or Causative Attack
A23YPRZKGGP3QI,172.16.0.5-192.168.50.1-63658-20515-17,172.16.0.5,63658,192.168.50.1,20515,17,40:17.2,3000002,4,2064,516,516,687.9995413,1.333332444,1.333332444,516,516,516,0,Trojan Attack
A2HOBQ1UZ2QTSA,172.16.0.5-192.168.50.1-61898-53585-6,172.16.0.5,61898,192.168.50.1,53585,6,34:31.2,0,2,0,0,0,,inf,0,0,0,0,1,No Attack
A1O8BS2HKE5Y0O,172.16.0.5-192.168.50.1-57395-16901-17,172.16.0.5,57395,192.168.50.1,16901,17,39:44.6,3002664,4,2064,516,516,687.389598,1.332150384,1.332150384,516,516,516,0,No Attack
A1FQ1WQDYAGU77,172.16.0.5-192.168.50.1-62479-45938-17,172.16.0.5,62479,192.168.50.1,45938,17,39:58.2,46,2,1032,516,516,22434782.61,43478.26087,43478.26087,516,516,516,0,Evasion or Adversarial Attack
A2ELDBHEORXNWA,172.16.0.5-192.168.50.1-62619-54881-17,172.16.0.5,62619,192.168.50.1,54881,17,39:37.0,5999897,6,3096,516,516,516.0088582,1.000017167,1.000017167,516,516,516,0,Poisoning or Causative Attack
A27XY8WKDALB34,172.16.0.5-192.168.50.1-62528-7937-17,172.16.0.5,62528,192.168.50.1,7937,17,40:44.0,3008326,4,2064,516,516,686.0958553,1.32964313,1.32964313,516,516,516,0,Trojan Attack
A1HDZQLR9Y5X2A,172.16.0.5-192.168.50.1-62577-45928-17,172.16.0.5,62577,192.168.50.1,45928,17,40:20.2,3002048,4,2064,516,516,687.5306457,1.332423732,1.332423732,516,516,516,0,No Attack
A4ZRAZF766WPQ,172.16.0.5-192.168.50.1-62772-16972-17,172.16.0.5,62772,192.168.50.1,16972,17,40:00.0,3001863,4,2064,516,516,687.5730172,1.332505847,1.332505847,516,516,516,0,Evasion or Adversarial Attack
A2SPYTCUM93BPO,172.16.0.5-192.168.50.1-62721-48509-17,172.16.0.5,62721,192.168.50.1,48509,17,40:57.7,2999449,4,2064,516,516,688.1263859,1.333578267,1.333578267,516,516,516,0,No Attack
A3T8J8FZ6R8B3W,172.16.0.5-192.168.50.1-63553-28720-17,172.16.0.5,63553,192.168.50.1,28720,17,41:06.0,2999766,4,2064,516,516,688.0536682,1.333437341,1.333437341,516,516,516,0,Evasion or Adversarial Attack
A1286MWY9ZAMDN,172.16.0.5-192.168.50.1-62472-58953-17,172.16.0.5,62472,192.168.50.1,58953,17,41:03.6,5999491,6,3096,516,516,516.0437777,1.000084841,1.000084841,516,516,516,0,Poisoning or Causative Attack
A1818NWEJP4RND,172.16.0.5-192.168.50.1-62955-46102-17,172.16.0.5,62955,192.168.50.1,46102,17,40:26.1,2,2,1032,516,516,516000000,1000000,1000000,516,516,516,0,Trojan Attack
A2CC7AFBJJVLZ4,172.16.0.5-192.168.50.1-16389-62920-6,172.16.0.5,16389,192.168.50.1,62920,6,34:33.6,48,2,0,0,0,0,41666.66667,41666.66667,0,0,0,1,No Attack
A1JOEJLEL2KJE2,172.16.0.5-192.168.50.1-679-11374-17,172.16.0.5,679,192.168.50.1,11374,17,40:34.1,5690789,22,11352,516,516,1994.802478,3.865896276,3.865896276,516,516,516,0,Trojan Attack
A3HXPEOW4KN19,172.16.0.5-192.168.50.1-33319-59176-17,172.16.0.5,33319,192.168.50.1,59176,17,40:59.9,3006013,4,2064,516,516,686.6237771,1.330666235,1.330666235,516,516,516,0,No Attack
A35HLZTYAWX5G1,172.16.0.5-192.168.50.1-62497-34294-17,172.16.0.5,62497,192.168.50.1,34294,17,40:36.0,3000286,4,2064,516,516,687.9344169,1.333206234,1.333206234,516,516,516,0,Evasion or Adversarial Attack
AGV2SUHV9P47T,172.16.0.5-192.168.50.1-62580-37970-17,172.16.0.5,62580,192.168.50.1,37970,17,40:06.4,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,No Attack
A2R81O3QF8BXI7,172.16.0.5-192.168.50.1-580-13245-17,172.16.0.5,580,192.168.50.1,13245,17,39:30.1,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Evasion or Adversarial Attack
A34UKAOKNIDCWZ,172.16.0.5-192.168.50.1-62499-63258-17,172.16.0.5,62499,192.168.50.1,63258,17,41:05.4,3007389,4,2064,516,516,686.3096194,1.330057402,1.330057402,516,516,516,0,Poisoning or Causative Attack
A3SH3ZVXS16IBL,172.16.0.5-192.168.50.1-62519-19907-17,172.16.0.5,62519,192.168.50.1,19907,17,40:05.7,9000897,8,4128,516,516,458.6209574,0.888800305,0.888800305,516,516,516,0,Trojan Attack
A1G51N43M000F7,172.16.0.5-192.168.50.1-62535-48511-17,172.16.0.5,62535,192.168.50.1,48511,17,40:07.6,5997655,6,3096,516,516,516.2017489,1.000390986,1.000390986,516,516,516,0,No Attack
A1OR3IQK8AB72I,172.16.0.5-192.168.50.1-63559-3143-6,172.16.0.5,63559,192.168.50.1,3143,6,34:31.8,1,2,0,0,0,0,2000000,2000000,0,0,0,1,No Attack
A21V8AYNDN7TNK,172.16.0.5-192.168.50.1-62509-39704-17,172.16.0.5,62509,192.168.50.1,39704,17,40:44.3,2999123,4,2064,516,516,688.2011841,1.333723225,1.333723225,516,516,516,0,Evasion or Adversarial Attack
AXA2AK79YLGEN,172.16.0.5-192.168.50.1-8419-15170-6,172.16.0.5,8419,192.168.50.1,15170,6,34:32.3,46,2,0,0,0,0,43478.26087,43478.26087,0,0,0,1,Poisoning or Causative Attack
A3C8ARJQBVVS30,172.16.0.5-192.168.50.1-62594-23063-17,172.16.0.5,62594,192.168.50.1,23063,17,40:54.7,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Trojan Attack
A1TIVD0Y3KJSCN,172.16.0.5-192.168.50.1-54934-59008-6,172.16.0.5,54934,192.168.50.1,59008,6,34:29.2,1,2,0,0,0,0,2000000,2000000,0,0,0,1,No Attack
A2E2YEN2AYNHPG,172.16.0.5-192.168.50.1-63965-39908-17,172.16.0.5,63965,192.168.50.1,39908,17,40:57.0,5999977,6,3096,516,516,516.001978,1.000003833,1.000003833,516,516,516,0,Evasion or Adversarial Attack
A1YLU9NT0Q9H1V,172.16.0.5-192.168.50.1-31411-31411-6,172.16.0.5,31411,192.168.50.1,31411,6,34:28.3,11292968,4,0,0,0,0,0.354202722,0.354202722,0,0,0,1,No Attack
ALYF3U1ERAREB,172.16.0.5-192.168.50.1-48085-48085-6,172.16.0.5,48085,192.168.50.1,48085,6,34:37.2,1,2,0,0,0,0,2000000,2000000,0,0,0,1,Evasion or Adversarial Attack
A39YLXXQHWKFTQ,172.16.0.5-192.168.50.1-36300-6-17,172.16.0.5,36300,192.168.50.1,6,17,40:42.6,2997517,4,2064,516,516,688.5699064,1.334437803,1.334437803,516,516,516,0,Poisoning or Causative Attack
AHVASC86C9VPS,172.16.0.5-192.168.50.1-62506-58082-17,172.16.0.5,62506,192.168.50.1,58082,17,39:40.8,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Trojan Attack
A2YVSVBU5YZNQT,172.16.0.5-192.168.50.1-63132-63573-17,172.16.0.5,63132,192.168.50.1,63573,17,41:05.6,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,No Attack
A5NZUU4AUOWZH,172.16.0.5-192.168.50.1-31308-31308-6,172.16.0.5,31308,192.168.50.1,31308,6,34:34.0,1,2,0,0,0,0,2000000,2000000,0,0,0,1,Evasion or Adversarial Attack
A3SIOSO6LTWCVE,172.16.0.5-192.168.50.1-19757-31632-6,172.16.0.5,19757,192.168.50.1,31632,6,34:34.1,1,2,0,0,0,0,2000000,2000000,0,0,0,1,No Attack
A2DQQUEPK53ORW,172.16.0.5-192.168.50.1-62468-64233-17,172.16.0.5,62468,192.168.50.1,64233,17,41:04.7,47,2,1032,516,516,21957446.81,42553.19149,42553.19149,516,516,516,0,Evasion or Adversarial Attack
A2J8GOBY9PV8WG,172.16.0.5-192.168.50.1-62493-35409-17,172.16.0.5,62493,192.168.50.1,35409,17,39:44.5,9003899,8,4128,516,516,458.4680481,0.888503969,0.888503969,516,516,516,0,Poisoning or Causative Attack
A3Q63ZZGUICVFW,172.16.0.5-192.168.50.1-62494-52710-17,172.16.0.5,62494,192.168.50.1,52710,17,41:05.0,2999793,4,2064,516,516,688.0474753,1.33342534,1.33342534,516,516,516,0,Trojan Attack
A3HPCRD9RX351S,172.16.0.5-192.168.50.1-62466-51937-17,172.16.0.5,62466,192.168.50.1,51937,17,40:56.9,5998963,6,3096,516,516,516.0891974,1.000172863,1.000172863,516,516,516,0,No Attack
A2C7PEKUF924NX,172.16.0.5-192.168.50.1-62647-49375-17,172.16.0.5,62647,192.168.50.1,49375,17,40:17.3,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,No Attack
AEJGD0907C1TJ,172.16.0.5-192.168.50.1-62534-4238-17,172.16.0.5,62534,192.168.50.1,4238,17,41:04.3,2999986,4,2064,516,516,688.0032107,1.333339556,1.333339556,516,516,516,0,Evasion or Adversarial Attack
A2DHG1HP5MCGMI,172.16.0.5-192.168.50.1-580-13821-17,172.16.0.5,580,192.168.50.1,13821,17,41:00.8,2075456,14,7224,516,516,3480.680872,6.745505566,6.745505566,516,516,516,0,Poisoning or Causative Attack
A1Y3B0IGSIJS7E,172.16.0.5-192.168.50.1-62758-20102-17,172.16.0.5,62758,192.168.50.1,20102,17,40:34.5,5999046,6,3096,516,516,516.082057,1.000159025,1.000159025,516,516,516,0,Trojan Attack
A1MPZHCGA5OX6B,172.16.0.5-192.168.50.1-62692-60888-17,172.16.0.5,62692,192.168.50.1,60888,17,40:20.9,2999139,4,2064,516,516,688.1975127,1.33371611,1.33371611,516,516,516,0,No Attack
A2R6RA8FRBS608,172.16.0.5-192.168.50.1-61037-40344-17,172.16.0.5,61037,192.168.50.1,40344,17,39:32.3,8998075,8,4128,516,516,458.7647914,0.889079053,0.889079053,516,516,516,0,Evasion or Adversarial Attack
A2EJ75UB35C0UL,172.16.0.5-192.168.50.1-63439-7510-17,172.16.0.5,63439,192.168.50.1,7510,17,39:57.1,6254521,6,3096,516,516,495.0019354,0.959306076,0.959306076,516,516,516,0,No Attack
A19U4T4I7UZGNM,172.16.0.5-192.168.50.1-41218-63410-17,172.16.0.5,41218,192.168.50.1,63410,17,40:05.7,3003132,4,2064,516,516,687.2824771,1.331942785,1.331942785,516,516,516,0,Evasion or Adversarial Attack
A2058UP7ATXFOF,172.16.0.5-192.168.50.1-62470-55508-17,172.16.0.5,62470,192.168.50.1,55508,17,39:57.3,2996270,4,2064,516,516,688.8564782,1.334993175,1.334993175,516,516,516,0,Poisoning or Causative Attack
A2058UP7ATXFOF,172.16.0.5-192.168.50.1-61554-50663-17,172.16.0.5,61554,192.168.50.1,50663,17,40:58.4,3000040,4,2064,516,516,687.9908268,1.333315556,1.333315556,516,516,516,0,Trojan Attack
A19U4T4I7UZGNM,172.16.0.5-192.168.50.1-62534-13494-17,172.16.0.5,62534,192.168.50.1,13494,17,39:47.3,5998044,6,3096,516,516,516.1682709,1.000326106,1.000326106,516,516,516,0,No Attack
A1BPLP0BKERV,172.16.0.5-192.168.50.1-62556-59154-17,172.16.0.5,62556,192.168.50.1,59154,17,40:06.9,5998223,6,3096,516,516,516.1528673,1.000296254,1.000296254,516,516,516,0,Evasion or Adversarial Attack
A26859014YM6JS,172.16.0.5-192.168.50.1-62603-39279-17,172.16.0.5,62603,192.168.50.1,39279,17,40:17.6,5998820,6,3096,516,516,516.1015,1.000196705,1.000196705,516,516,516,0,No Attack
A3Q1DEMHY49CN3,172.16.0.5-192.168.50.1-62470-57975-17,172.16.0.5,62470,192.168.50.1,57975,17,40:35.0,6002399,6,3096,516,516,515.7937685,0.999600326,0.999600326,516,516,516,0,Evasion or Adversarial Attack
A3B8CF4V636M8U,172.16.0.5-192.168.50.1-64030-23125-17,172.16.0.5,64030,192.168.50.1,23125,17,41:11.4,3012516,4,2064,516,516,685.1415893,1.327793778,1.327793778,516,516,516,0,Poisoning or Causative Attack
A2MZ43MMIBFL7M,172.16.0.5-192.168.50.1-60704-60704-6,172.16.0.5,60704,192.168.50.1,60704,6,34:32.4,49,2,0,0,0,0,40816.32653,40816.32653,0,0,0,1,Trojan Attack
A92JIDJABMJKY,172.16.0.5-192.168.50.1-63303-28795-17,172.16.0.5,63303,192.168.50.1,28795,17,41:04.2,5996578,6,3096,516,516,516.2944599,1.000570659,1.000570659,516,516,516,0,No Attack
A29BWC41573AF8,172.16.0.5-192.168.50.1-62863-28013-17,172.16.0.5,62863,192.168.50.1,28013,17,40:34.5,6000709,6,3096,516,516,515.9390332,0.999881847,0.999881847,516,516,516,0,No Attack
ACYR6O588USK,172.16.0.5-192.168.50.1-15286-34342-17,172.16.0.5,15286,192.168.50.1,34342,17,40:24.4,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Evasion or Adversarial Attack
A2GEZJHBV92EVR,172.16.0.5-192.168.50.1-62523-32683-17,172.16.0.5,62523,192.168.50.1,32683,17,40:32.6,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Poisoning or Causative Attack
A1IQB5BF5VKT0H,172.16.0.5-192.168.50.1-62642-11394-17,172.16.0.5,62642,192.168.50.1,11394,17,40:34.9,6003605,6,3096,516,516,515.6901562,0.999399527,0.999399527,516,516,516,0,Trojan Attack
AJOVLH67GULJD,172.16.0.5-192.168.50.1-62477-29733-17,172.16.0.5,62477,192.168.50.1,29733,17,40:06.6,6000047,6,3096,516,516,515.995958,0.999992167,0.999992167,516,516,516,0,No Attack
A3TD1O4EC26NT2,172.16.0.5-192.168.50.1-64998-64998-6,172.16.0.5,64998,192.168.50.1,64998,6,34:30.6,48,2,0,0,0,0,41666.66667,41666.66667,0,0,0,1,Evasion or Adversarial Attack
A2CS4B58345BRL,172.16.0.5-192.168.50.1-63077-9932-17,172.16.0.5,63077,192.168.50.1,9932,17,39:37.7,2999268,4,2064,516,516,688.167913,1.333658746,1.333658746,516,516,516,0,No Attack
A291HTT117RVS9,172.16.0.5-192.168.50.1-56094-19383-6,172.16.0.5,56094,192.168.50.1,19383,6,34:40.0,2,2,0,0,0,0,1000000,1000000,0,0,0,1,Evasion or Adversarial Attack
A1MMJ2O6PM8OG7,172.16.0.5-192.168.50.1-62492-22231-17,172.16.0.5,62492,192.168.50.1,22231,17,40:20.3,3000145,4,2064,516,516,687.9667483,1.333268892,1.333268892,516,516,516,0,Poisoning or Causative Attack
AW7VIZUKC8ZY3,172.16.0.5-192.168.50.1-62557-36212-17,172.16.0.5,62557,192.168.50.1,36212,17,40:25.2,6002549,6,3096,516,516,515.7808791,0.999575347,0.999575347,516,516,516,0,Trojan Attack
A2K05W5ZQQH7VI,172.16.0.5-192.168.50.1-50153-50153-6,172.16.0.5,50153,192.168.50.1,50153,6,34:33.6,2,2,0,0,0,0,1000000,1000000,0,0,0,1,No Attack
AM9KC2IIN15JV,172.16.0.5-192.168.50.1-62466-5427-17,172.16.0.5,62466,192.168.50.1,5427,17,41:10.7,2527193,4,2064,516,516,816.7164122,1.582783745,1.582783745,516,516,516,0,Evasion or Adversarial Attack
A280OZI067MIQN,172.16.0.5-192.168.50.1-62829-62976-17,172.16.0.5,62829,192.168.50.1,62976,17,40:54.3,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,No Attack
A1MM0WYBRDZT5O,172.16.0.5-192.168.50.1-62612-42640-17,172.16.0.5,62612,192.168.50.1,42640,17,40:45.7,3002269,4,2064,516,516,687.4800359,1.332325651,1.332325651,516,516,516,0,Evasion or Adversarial Attack
A1N5121RR13ZCZ,172.16.0.5-192.168.50.1-580-681-17,172.16.0.5,580,192.168.50.1,681,17,40:33.8,6004648,8,4128,516,516,687.4674419,1.332301244,1.332301244,516,516,516,0,Poisoning or Causative Attack
A2JBZWC5IY0AMG,172.16.0.5-192.168.50.1-62714-19949-17,172.16.0.5,62714,192.168.50.1,19949,17,39:54.2,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Trojan Attack
AC0NNJ3Q6YF2N,172.16.0.5-192.168.50.1-63399-10519-17,172.16.0.5,63399,192.168.50.1,10519,17,41:03.4,5999963,6,3096,516,516,516.003182,1.000006167,1.000006167,516,516,516,0,No Attack
A3FRWBGL8TSOY7,172.16.0.5-192.168.50.1-63492-7937-17,172.16.0.5,63492,192.168.50.1,7937,17,40:34.3,6007345,6,3096,516,516,515.3691023,0.99877733,0.99877733,516,516,516,0,No Attack
A2ZEFDVX4X5TPX,172.16.0.5-192.168.50.1-62524-32861-17,172.16.0.5,62524,192.168.50.1,32861,17,40:16.8,6001922,6,3096,516,516,515.8347609,0.999679769,0.999679769,516,516,516,0,Evasion or Adversarial Attack
AQ0BWW19DY5KE,172.16.0.5-192.168.50.1-63671-10149-17,172.16.0.5,63671,192.168.50.1,10149,17,39:45.6,3006541,4,2064,516,516,686.5031942,1.330432547,1.330432547,516,516,516,0,Poisoning or Causative Attack
A2W09PJ1TTHQ6H,172.16.0.5-192.168.50.1-63646-15019-17,172.16.0.5,63646,192.168.50.1,15019,17,40:27.3,3133740,4,2064,516,516,658.6379215,1.27643008,1.27643008,516,516,516,0,Trojan Attack
A1SB0MNI6H90DG,172.16.0.5-192.168.50.1-62845-31091-17,172.16.0.5,62845,192.168.50.1,31091,17,39:59.9,2999588,4,2064,516,516,688.0944983,1.33351647,1.33351647,516,516,516,0,No Attack
A1K0TEFCRCKU9B,172.16.0.5-192.168.50.1-62478-10241-17,172.16.0.5,62478,192.168.50.1,10241,17,41:03.3,5992893,6,3096,516,516,516.6119268,1.001185905,1.001185905,516,516,516,0,Evasion or Adversarial Attack
A2O8HS10MV08RN,172.16.0.5-192.168.50.1-19985-63282-6,172.16.0.5,19985,192.168.50.1,63282,6,34:34.2,8322166,4,0,0,0,0,0.480644102,0.480644102,0,0,0,1,No Attack
